,Unnamed: 0,rank_order,rank,name,Overall Score,scores_overall_rank,Teaching Score,scores_teaching_rank,International Outlook Score,scores_international_outlook_rank,Industry Income Score,scores_industry_income_rank,Research Score,scores_research_rank,Citations Score,scores_citations_rank,location,aliases,subjects_offered,closed,unaccredited,year
757,89,90,90,Ghent University,56.2,90,42.5,119,49.1,245,85.3,46,51.6,77,73.8,159,Belgium,Ghent University,"Accounting & Finance,Education,Economics & Econometrics,General Engineering,Psychology,Archaeology,Computer Science,Sport Science,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy,History, Philosophy & Theology,Other Health,Biological Sciences,Geography,Civil Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Law,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Veterinary Science,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry,Sociology",False,False,2015
758,90,91,91,University of Pittsburgh-Pittsburgh campus,56.1,92,45.2,96,32.2,355,38.5,249,46.3,101,84.4,78,United States,University of Pittsburgh-Pittsburgh campus,"Mathematics & Statistics,Physics & Astronomy,Law,Other Health,Biological Sciences,Computer Science,Art, Performing Arts & Design,Education,Geography,Communication & Media Studies,Architecture,Accounting & Finance,Sport Science,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Civil Engineering,Psychology,Languages, Literature & Linguistics,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",False,False,2015
759,91,91,91,University of Massachusetts,56.1,91,44.8,100,40.3,303,52.8,128,49.1,87,78.7,116,United States,University of Massachusetts,"Medicine & Dentistry,Sport Science,Sociology,Communication & Media Studies,Agriculture & Forestry,Art, Performing Arts & Design,Architecture,Other Health,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Psychology,Geography,Electrical & Electronic Engineering,General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Law,Chemistry,Chemical Engineering,Archaeology,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Business & Management,Economics & Econometrics,Politics & International Studies (incl Development Studies),Biological Sciences,Computer Science,Education,Veterinary Science",False,False,2015
760,92,93,93,Emory University,55.5,93,49.0,77,42.9,288,42.3,203,32.4,202,89.5,50,United States,Emory University,"Law,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Biological Sciences,Business & Management,Chemistry,Computer Science,Psychology,Economics & Econometrics,Communication & Media Studies,General Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics",False,False,2015
761,93,94,94,McMaster University,55.3,94,38.1,160,69.4,108,85.0,47,43.2,116,78.8,114,Canada,McMaster University,"Accounting & Finance,Communication & Media Studies,Chemical Engineering,Psychology,Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Biological Sciences,Archaeology,General Engineering,Chemistry,Computer Science,Mechanical & Aerospace Engineering,Other Health,Electrical & Electronic Engineering,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Business & Management,Sport Science,Sociology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy",False,False,2015
762,94,94,94,University of Glasgow,55.3,95,37.0,172,78.8,71,39.9,230,40.5,125,83.7,81,United Kingdom,University of Glasgow,"Art, Performing Arts & Design,Agriculture & Forestry,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Business & Management,Biological Sciences,Archaeology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Law,Economics & Econometrics,General Engineering,Psychology,Medicine & Dentistry,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Veterinary Science,Geography,Architecture,Education,Languages, Literature & Linguistics,Physics & Astronomy,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Other Health,Sociology,Chemistry",False,False,2015
763,95,96,96,Vanderbilt University,55.2,96,46.0,90,28.3,373,59.4,102,38.2,143,87.7,65,United States,Vanderbilt University,"Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,General Engineering,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Law,Chemical Engineering,Mathematics & Statistics,Computer Science,Archaeology,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Sociology,Civil Engineering,Accounting & Finance,Other Health,Chemistry",False,False,2015
764,97,98,98,Uppsala University,54.6,100,40.2,137,57.5,179,39.6,234,53.0,71,70.9,183,Sweden,Uppsala University,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Politics & International Studies (incl Development Studies),Archaeology,Law,Accounting & Finance,Psychology,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Physics & Astronomy,Geography,Chemical Engineering,Civil Engineering,Communication & Media Studies,Medicine & Dentistry,Chemistry,Languages, Literature & Linguistics,Other Health,Sociology,Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Biological Sciences",False,False,2015
765,98,98,98,Technical University of Munich,54.6,99,45.6,94,64.0,136,49.0,152,37.4,150,78.8,115,Germany,Technical University of Munich,"Chemical Engineering,Chemistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Civil Engineering,Physics & Astronomy,Computer Science,Mathematics & Statistics,Education,Sport Science,Architecture,General Engineering,Agriculture & Forestry,Sociology",False,False,2015
766,99,98,98,Stockholm University,54.6,98,30.1,264,53.2,217,32.4,325,45.0,109,90.9,46,Sweden,Stockholm University,"Art, Performing Arts & Design,Architecture,Education,Communication & Media Studies,Law,Languages, Literature & Linguistics,Sociology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Biological Sciences,Chemistry,Geography,Politics & International Studies (incl Development Studies),Accounting & Finance,Other Health,Mathematics & Statistics,Economics & Econometrics,Psychology,Agriculture & Forestry,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Business & Management",False,False,2015
767,100,101,101,Maastricht University,54.3,101,32.4,222,89.7,17,96.1,27,48.1,89,70.1,190,Netherlands,Maastricht University,"Business & Management,Communication & Media Studies,Chemical Engineering,Education,Accounting & Finance,Psychology,Chemistry,Biological Sciences,Other Health,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics,Law,General Engineering,History, Philosophy & Theology,Sociology,Economics & Econometrics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Sport Science,Computer Science",False,False,2015
768,102,103,103,Pierre and Marie Curie University,53.9,103,47.3,85,64.7,130,33.4,310,30.0,221,83.3,84,France,Pierre and Marie Curie University,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemistry,Electrical & Electronic Engineering,Other Health,Biological Sciences,Chemical Engineering,Mathematics & Statistics,General Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Computer Science,Veterinary Science",False,False,2015
769,103,103,103,University of Warwick,53.9,105,41.1,130,85.7,32,35.6,276,45.8,103,68.2,203,United Kingdom,University of Warwick,"Sociology,Geography,Chemistry,Accounting & Finance,Medicine & Dentistry,Psychology,Law,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Mathematics & Statistics,General Engineering,Other Health,Physics & Astronomy,Civil Engineering,History, Philosophy & Theology,Business & Management,Biological Sciences,Communication & Media Studies",False,False,2015
770,104,103,103,University of Helsinki,53.9,104,37.5,168,49.7,240,31.5,338,48.1,90,79.0,112,Finland,University of Helsinki,"Biological Sciences,Languages, Literature & Linguistics,Chemistry,Sociology,Other Health,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,Medicine & Dentistry,Physics & Astronomy,Law,Psychology,Economics & Econometrics,Veterinary Science,Agriculture & Forestry,Communication & Media Studies,Archaeology,Education,Geography,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",False,False,2015
771,105,103,103,University of Zurich,53.9,106,40.2,136,86.9,30,40.1,227,33.1,194,81.4,96,Switzerland,University of Zurich,"Archaeology,Biological Sciences,Sociology,Art, Performing Arts & Design,Law,Communication & Media Studies,Computer Science,Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Veterinary Science,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Psychology,Other Health,Physics & Astronomy,Accounting & Finance,Agriculture & Forestry,Geography,Business & Management,Education,Politics & International Studies (incl Development Studies)",False,False,2015
772,106,107,107,University of Geneva,53.8,108,34.5,201,96.8,2,65.1,87,37.2,151,78.2,118,Switzerland,University of Geneva,"Politics & International Studies (incl Development Studies),Law,History, Philosophy & Theology,Computer Science,Sociology,Economics & Econometrics,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Medicine & Dentistry,Mathematics & Statistics,Physics & Astronomy,Archaeology,Education,Geography,Psychology,Accounting & Finance,Business & Management,Geology, Environmental, Earth & Marine Sciences,Other Health,Communication & Media Studies",False,False,2015
773,107,107,107,Queen Mary University of London,53.8,107,32.4,223,88.6,20,37.1,258,32.9,198,88.9,55,United Kingdom,Queen Mary University of London,"Communication & Media Studies,Law,Economics & Econometrics,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,General Engineering,Biological Sciences,Chemistry,Geography,Business & Management,Computer Science,History, Philosophy & Theology,Civil Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Medicine & Dentistry,Physics & Astronomy,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Veterinary Science,Other Health,Chemical Engineering",False,False,2015
774,108,109,109,UNSW Sydney,53.7,110,41.1,129,83.5,48,47.8,155,51.9,76,61.1,260,Australia,UNSW Sydney unsw australia unsw,"Sport Science,Chemistry,Electrical & Electronic Engineering,Psychology,Other Health,Biological Sciences,Politics & International Studies (incl Development Studies),Architecture,Civil Engineering,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Geography,History, Philosophy & Theology,Computer Science,Business & Management,Law,Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Economics & Econometrics,Education,Sociology",False,False,2015
775,109,109,109,"University of California, Santa Cruz",53.7,109,30.6,253,54.6,205,33.8,302,31.9,206,100.0,3,United States,"University of California, Santa Cruz","Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Archaeology,Agriculture & Forestry,Business & Management,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,Computer Science,Chemistry,Other Health,Mathematics & Statistics,Education,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Psychology",False,False,2015
776,110,111,111,University of St Andrews,53.6,111,35.7,189,90.5,16,39.8,231,35.9,164,81.4,94,United Kingdom,University of St Andrews,"Other Health,Geography,Communication & Media Studies,Business & Management,Psychology,Sociology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Archaeology,Computer Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemistry,Biological Sciences,History, Philosophy & Theology,Physics & Astronomy,Languages, Literature & Linguistics",False,False,2015
777,111,111,111,University of Sussex,53.6,112,31.9,233,83.6,46,31.2,343,30.4,217,92.8,36,United Kingdom,University of Sussex,"Art, Performing Arts & Design,Computer Science,Psychology,Communication & Media Studies,Accounting & Finance,Biological Sciences,Electrical & Electronic Engineering,Geography,Mechanical & Aerospace Engineering,Physics & Astronomy,Education,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Law,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology,Economics & Econometrics,Chemistry",False,False,2015
778,112,113,113,University of York,53.4,115,32.2,229,75.0,83,32.2,327,33.8,185,90.5,47,United Kingdom,University of York,"General Engineering,Biological Sciences,Physics & Astronomy,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Psychology,History, Philosophy & Theology,Other Health,Business & Management,Chemistry,Archaeology,Mathematics & Statistics,Computer Science,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Education,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Geography",False,False,2015
779,113,113,113,University of Montreal,53.4,113,43.8,107,76.7,76,91.8,31,44.4,114,62.9,240,Canada,University of Montreal Université de Montréal Universite de Montreal,"General Engineering,Medicine & Dentistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,History, Philosophy & Theology,Sociology,Accounting & Finance,Biological Sciences,Communication & Media Studies,Architecture,Mathematics & Statistics,Chemical Engineering,Chemistry,Law,Veterinary Science,Sport Science,Geography,Education,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Business & Management,Psychology,Computer Science,Other Health",False,False,2015
780,114,113,113,University of Tübingen,53.4,114,41.5,127,53.0,219,54.7,119,44.7,112,74.0,157,Germany,University of Tübingen,"History, Philosophy & Theology,Education,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,Medicine & Dentistry,Sport Science,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Geography,Physics & Astronomy,Biological Sciences,Other Health,Mathematics & Statistics,Accounting & Finance,Chemistry,Business & Management,Law,Psychology",False,False,2015
781,116,117,117,University of Groningen,53.1,117,36.9,175,56.1,191,88.9,36,50.8,82,68.1,204,Netherlands,University of Groningen,"General Engineering,Accounting & Finance,Chemical Engineering,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Geography,Archaeology,Law,Business & Management,Computer Science,Medicine & Dentistry,Mathematics & Statistics,Education,History, Philosophy & Theology,Languages, Literature & Linguistics,Other Health,Physics & Astronomy,Communication & Media Studies,Chemistry,Politics & International Studies (incl Development Studies)",False,False,2015
782,117,118,118,"Royal Holloway, University of London",53.0,118,29.1,277,94.4,6,32.8,315,22.4,310,98.9,13,United Kingdom,"Royal Holloway, University of London","Politics & International Studies (incl Development Studies),Mathematics & Statistics,Agriculture & Forestry,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Law,Chemistry,General Engineering,Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Sport Science,Archaeology,Economics & Econometrics,Education,Electrical & Electronic Engineering,Biological Sciences,Psychology,Sociology,Business & Management,Accounting & Finance,Medicine & Dentistry,Computer Science,Geography,History, Philosophy & Theology",False,False,2015
783,118,119,119,Lund University,52.9,119,32.6,218,70.1,103,32.6,321,48.5,88,74.9,145,Sweden,Lund University,"Communication & Media Studies,Education,Electrical & Electronic Engineering,History, Philosophy & Theology,Physics & Astronomy,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Law,Archaeology,Economics & Econometrics,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies),Other Health,Art, Performing Arts & Design,Business & Management,Psychology,Architecture,Mechanical & Aerospace Engineering,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Biological Sciences,General Engineering,Geography,Chemical Engineering",False,False,2015
784,119,120,120,Paris-Sud University,52.8,120,37.3,169,62.7,144,28.9,372,33.1,193,87.7,62,France,Paris-Sud University,"Medicine & Dentistry,Computer Science,Physics & Astronomy,Sport Science,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Law,Other Health,Accounting & Finance,Biological Sciences,General Engineering,Business & Management,Civil Engineering,Mathematics & Statistics,Chemistry,Chemical Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,2015
785,120,121,121,University of Sheffield,52.7,123,40.0,140,74.8,85,43.8,188,39.1,138,74.3,151,United Kingdom,University of Sheffield united kingdom UK Sheffield,"Education,Psychology,Languages, Literature & Linguistics,Medicine & Dentistry,Archaeology,Mechanical & Aerospace Engineering,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,General Engineering,Computer Science,Communication & Media Studies,History, Philosophy & Theology,Other Health,Biological Sciences,Geography,Business & Management,Civil Engineering,Chemistry,Sociology,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,Physics & Astronomy,Law,Politics & International Studies (incl Development Studies)",False,False,2015
786,121,121,121,Technical University of Denmark,52.7,121,39.9,141,79.7,64,98.6,22,28.2,243,79.6,111,Denmark,Technical University of Denmark,"Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Physics & Astronomy,Electrical & Electronic Engineering,Civil Engineering,Agriculture & Forestry,Computer Science,Veterinary Science,Chemistry,Chemical Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics",False,False,2015
787,122,121,121,University of Rochester,52.7,122,41.9,124,55.5,196,36.4,266,29.2,232,87.7,63,United States,University of Rochester,"Electrical & Electronic Engineering,Education,Politics & International Studies (incl Development Studies),Sociology,Psychology,History, Philosophy & Theology,Chemical Engineering,Computer Science,Art, Performing Arts & Design,Civil Engineering,Biological Sciences,Chemistry,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Communication & Media Studies,Languages, Literature & Linguistics,General Engineering,Other Health,Medicine & Dentistry,Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy",False,False,2015
788,123,124,124,University of Cape Town,52.6,125,26.8,309,76.7,75,88.0,40,35.3,169,86.6,68,South Africa,University of Cape Town UCT,"Other Health,Communication & Media Studies,Art, Performing Arts & Design,Biological Sciences,Archaeology,Mechanical & Aerospace Engineering,Business & Management,General Engineering,Physics & Astronomy,History, Philosophy & Theology,Education,Sport Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemical Engineering,Psychology,Languages, Literature & Linguistics,Computer Science,Chemistry,Geography,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Sociology,Architecture,Law,Medicine & Dentistry,Civil Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,2015
789,124,124,124,University of Alberta,52.6,124,43.8,106,73.4,87,51.8,130,47.1,97,61.8,255,Canada,University of Alberta,"Geography,Archaeology,Computer Science,Education,Law,Politics & International Studies (incl Development Studies),Communication & Media Studies,Psychology,General Engineering,Medicine & Dentistry,History, Philosophy & Theology,Biological Sciences,Other Health,Chemistry,Art, Performing Arts & Design,Civil Engineering,Architecture,Business & Management,Agriculture & Forestry,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Chemical Engineering,Sport Science,Sociology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Veterinary Science,Geology, Environmental, Earth & Marine Sciences",False,False,2015
790,125,126,126,KTH Royal Institute of Technology,52.5,127,45.7,92,84.0,43,100.0,5,44.8,110,55.1,305,Sweden,KTH Royal Institute of Technology,"Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Economics & Econometrics,Biological Sciences,Chemical Engineering,Chemistry,Education,Mathematics & Statistics,Physics & Astronomy,Computer Science,Geology, Environmental, Earth & Marine Sciences,General Engineering,Architecture",False,False,2015
791,127,126,126,Boston College,52.5,126,32.4,221,54.6,204,46.5,164,29.1,233,95.9,23,United States,Boston College,"Computer Science,Medicine & Dentistry,Physics & Astronomy,Psychology,History, Philosophy & Theology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Education,Sociology,Economics & Econometrics,Biological Sciences,Art, Performing Arts & Design,Law,Chemistry,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Business & Management",False,False,2015
792,128,129,129,Chinese University of Hong Kong,52.4,129,43.9,104,64.0,135,42.8,196,53.5,70,57.8,283,Hong Kong,Chinese University of Hong Kong CUHK,"General Engineering,Education,Languages, Literature & Linguistics,Sport Science,Physics & Astronomy,Geography,Accounting & Finance,Other Health,Medicine & Dentistry,Economics & Econometrics,Psychology,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Architecture,Business & Management,Art, Performing Arts & Design,Law,Computer Science,Biological Sciences",False,False,2015
793,129,130,130,University of Virginia (Main campus),52.1,130,48.7,81,31.8,357,49.8,143,35.9,165,76.9,128,United States,University of Virginia (Main campus),"Biological Sciences,Law,Art, Performing Arts & Design,Computer Science,Sport Science,Business & Management,Psychology,Medicine & Dentistry,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Architecture,General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Economics & Econometrics,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,Other Health,Archaeology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Education,Communication & Media Studies",False,False,2015
794,130,131,131,Lancaster University,52.0,131,35.4,191,84.7,36,34.1,297,36.1,162,78.0,119,United Kingdom,Lancaster University,"Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Geography,Medicine & Dentistry,Chemistry,Electrical & Electronic Engineering,Accounting & Finance,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Physics & Astronomy,Law,Education,Economics & Econometrics,Biological Sciences,Sociology,Sport Science,Other Health,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Psychology,Computer Science,Chemical Engineering,Business & Management,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Architecture",False,False,2015
795,131,132,132,University of Southampton,51.9,134,35.2,192,82.4,50,38.9,243,34.1,180,79.7,110,United Kingdom,University of Southampton,"Sociology,Mechanical & Aerospace Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Business & Management,Mathematics & Statistics,General Engineering,Accounting & Finance,Communication & Media Studies,Biological Sciences,Geography,Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Archaeology,History, Philosophy & Theology,Physics & Astronomy,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemistry,Computer Science,Education,Psychology,Law",False,False,2015
796,132,132,132,University of Bern,51.9,132,42.0,122,80.7,57,47.4,159,36.9,155,70.1,191,Switzerland,University of Bern,"Psychology,Education,Communication & Media Studies,Business & Management,Veterinary Science,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Law,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Accounting & Finance,Geography,History, Philosophy & Theology,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Sport Science,Economics & Econometrics,Chemistry,Sociology",False,False,2015
797,133,132,132,"University of Maryland, College Park",51.9,133,36.5,179,44.8,271,33.2,312,39.1,137,83.6,82,United States,"University of Maryland, College Park","Chemical Engineering,Business & Management,Architecture,History, Philosophy & Theology,Chemistry,Other Health,Art, Performing Arts & Design,Electrical & Electronic Engineering,Archaeology,Politics & International Studies (incl Development Studies),Education,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Agriculture & Forestry,Communication & Media Studies,Veterinary Science,General Engineering,Economics & Econometrics,Sport Science,Geography,Biological Sciences,Mathematics & Statistics,Computer Science",False,False,2015
798,134,135,135,TU Dresden,51.6,135,39.8,144,44.7,272,99.5,19,42.0,120,70.8,185,Germany,TU Dresden,"Chemistry,Accounting & Finance,Electrical & Electronic Engineering,Sociology,Biological Sciences,Mechanical & Aerospace Engineering,Geography,Psychology,Civil Engineering,Computer Science,Medicine & Dentistry,Business & Management,Economics & Econometrics,Architecture,Education,History, Philosophy & Theology,Physics & Astronomy,Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Other Health",False,False,2015
799,135,136,136,Vrije Universiteit Amsterdam,51.4,137,35.5,190,50.6,231,60.0,100,43.2,117,74.9,146,Netherlands,Vrije Universiteit Amsterdam,"Architecture,Mathematics & Statistics,Economics & Econometrics,Sociology,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Geography,Law,Communication & Media Studies,Computer Science,Chemistry,Education,Accounting & Finance,Medicine & Dentistry,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Psychology,Agriculture & Forestry,Languages, Literature & Linguistics,Biological Sciences",False,False,2015
800,136,136,136,University of Lausanne,51.4,136,29.4,273,85.1,34,50.9,136,39.9,131,76.5,132,Switzerland,University of Lausanne,"Communication & Media Studies,Archaeology,Other Health,Geography,Medicine & Dentistry,Law,Education,Accounting & Finance,Biological Sciences,History, Philosophy & Theology,Sociology,Psychology,Sport Science,Economics & Econometrics,Politics & International Studies (incl Development Studies),Business & Management,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science",False,False,2015
801,137,138,138,Trinity College Dublin,51.2,138,39.4,149,83.9,44,30.6,353,30.3,218,77.6,124,Ireland,Trinity College Dublin,"Mechanical & Aerospace Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management,Geography,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Medicine & Dentistry,Archaeology,Physics & Astronomy,Sport Science,Law,Accounting & Finance,Sociology,General Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics,Education,Chemistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Computer Science,Civil Engineering,Psychology",False,False,2015
802,138,139,139,Boğaziçi University,51.1,139,28.5,288,54.1,208,47.7,156,27.6,252,96.8,19,Turkey,Boğaziçi University,"Sociology,Mathematics & Statistics,Accounting & Finance,Civil Engineering,Education,Physics & Astronomy,Electrical & Electronic Engineering,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Chemistry,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Psychology,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences",False,False,2015
803,139,140,140,Radboud University Nijmegen,51.0,140,30.5,258,61.6,149,42.8,197,46.7,100,73.9,158,Netherlands,Radboud University Nijmegen,"History, Philosophy & Theology,Economics & Econometrics,Psychology,Geography,Archaeology,Communication & Media Studies,Business & Management,Medicine & Dentistry,Physics & Astronomy,Law,Languages, Literature & Linguistics,Accounting & Finance,Biological Sciences,Computer Science,Education,Sociology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mathematics & Statistics,Other Health,Chemistry",False,False,2015
